time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-02 23:00:00,64.58,57.4,Lower Northeast,70.0,49.0,Outside
2021-09-02 23:00:00,71.6,55.5,Backyard,70.0,49.0,Outside
2021-09-02 23:00:00,64.58,62.4,Lower Southeast,70.0,49.0,Outside
2021-09-02 23:00:00,64.4,69.6,Lower Southwest,70.0,49.0,Outside
2021-09-02 23:00:00,70.16,57.5,Upper East (Garage),70.0,49.0,Outside
2021-09-02 23:00:00,69.98,54.69,Upper West (Bedroom),70.0,49.0,Outside
2021-09-02 23:00:00,70.0,49.0,Outside,70.0,49.0,Outside
2021-09-03 00:00:00,64.22,58.9,Lower Northeast,68.0,55.0,Outside
2021-09-03 00:00:00,71.42,55.7,Backyard,68.0,55.0,Outside
2021-09-03 00:00:00,64.4,62.8,Lower Southeast,68.0,55.0,Outside
2021-09-03 00:00:00,64.4,70.4,Lower Southwest,68.0,55.0,Outside
